,xy,yf,prob
45,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
46,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
47,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
48,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
49,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
50,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
51,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
52,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
53,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
54,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
55,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
56,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
57,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
58,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
59,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
60,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0,0.58
61,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
62,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
63,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0)",1,0.58
64,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
65,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
66,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",1,0.016901408450704224
67,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
68,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
69,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
70,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
71,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
72,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
73,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
74,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
75,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
76,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
77,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
78,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
79,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
80,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
81,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
82,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
83,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
84,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",1,0.016901408450704224
85,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
86,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
87,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
88,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
89,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
90,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
91,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
92,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
93,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
94,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
95,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
96,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
97,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
98,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
99,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
100,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
101,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
102,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
103,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
104,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
105,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
106,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
107,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
108,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
109,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
110,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
111,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
112,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
113,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
114,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
115,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
116,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
117,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
118,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
119,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
120,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
121,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
122,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
123,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
124,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
125,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
126,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
127,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
128,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
129,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
130,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
131,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
132,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
133,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
134,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
135,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
136,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
137,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
138,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
139,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
140,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
141,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
142,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
143,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
144,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
145,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
146,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
147,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
148,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
149,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
150,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
151,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
152,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
153,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
154,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
155,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
156,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
157,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
158,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
159,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
160,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
161,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
162,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
163,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
164,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
165,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
166,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
167,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
168,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
169,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
170,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
171,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
172,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
173,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
174,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
175,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
176,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
177,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
178,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
179,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
180,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
181,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
182,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
183,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
184,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
185,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
186,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
187,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
188,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
189,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
190,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
191,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
192,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
193,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
194,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
195,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
196,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
197,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
198,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
199,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
200,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
201,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
202,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
203,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
204,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
205,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
206,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
207,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
208,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
209,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
210,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
211,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
212,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
213,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
214,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",1,0.016901408450704224
215,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
216,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
217,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
218,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
219,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
220,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
221,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
222,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
223,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
224,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
225,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
226,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
227,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
228,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
229,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
230,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
231,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
232,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
233,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
234,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
235,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
236,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
237,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
238,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
239,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
240,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
241,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
242,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
243,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
244,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
245,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
246,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",1,0.016901408450704224
247,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
248,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
249,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
250,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
251,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
252,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
253,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
254,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
255,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
256,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
257,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
258,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
259,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
260,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
261,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",1,0.016901408450704224
262,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0)",0,0.016901408450704224
